postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,n_facades
1070.0,170000.0,2.0,64.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
4680.0,219000.0,3.0,124.0,1.0,0.0,1.0,21.0,1.0,46.0,4.0
9600.0,219000.0,1.0,120.0,1.0,0.0,0.0,0.0,1.0,2000.0,4.0
9300.0,245000.0,1.0,52.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0
1000.0,330000.0,2.0,90.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0
1755.0,359000.0,3.0,112.0,1.0,1.0,1.0,28.0,0.0,0.0,2.0
1082.0,425000.0,2.0,105.0,1.0,1.0,1.0,93.0,0.0,0.0,2.0
1180.0,435000.0,2.0,95.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
2100.0,182500.0,2.0,85.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2140.0,183000.0,2.0,89.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0
2100.0,229000.0,2.0,88.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
2600.0,229000.0,2.0,88.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
1000.0,237500.0,1.0,54.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
2100.0,245000.0,2.0,106.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0
2140.0,285000.0,3.0,123.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1800.0,295000.0,2.0,87.0,1.0,0.0,1.0,20.0,0.0,0.0,2.0
2600.0,399000.0,5.0,191.0,1.0,1.0,1.0,57.0,0.0,0.0,4.0
1200.0,499000.0,2.0,94.0,1.0,0.0,1.0,28.0,0.0,0.0,2.0
1150.0,675000.0,2.0,130.0,1.0,0.0,1.0,30.0,0.0,0.0,2.0
1090.0,209000.0,1.0,60.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
1180.0,380000.0,3.0,108.0,1.0,0.0,1.0,17.0,0.0,0.0,3.0
6900.0,385000.0,4.0,199.0,1.0,0.0,1.0,35.0,0.0,0.0,3.0
4053.0,399000.0,3.0,145.0,1.0,1.0,1.0,20.0,0.0,0.0,3.0
4053.0,399000.0,3.0,145.0,1.0,1.0,1.0,20.0,0.0,0.0,3.0
1050.0,465000.0,2.0,95.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
1200.0,595000.0,3.0,120.0,1.0,0.0,1.0,13.0,0.0,0.0,2.0
