postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,swimming_pool
4100.0,144000.0,2.0,105.0,1.0,0.0,1.0,18.0,1.0,25.0,105.0,2.0,0.0
4100.0,199000.0,4.0,125.0,1.0,0.0,1.0,108.0,1.0,28.0,229.0,2.0,0.0
9550.0,539000.0,4.0,370.0,1.0,0.0,1.0,60.0,0.0,0.0,911.0,4.0,0.0
1190.0,650000.0,4.0,215.0,1.0,0.0,1.0,10.0,1.0,90.0,170.0,2.0,0.0
9300.0,850000.0,8.0,1264.0,1.0,0.0,1.0,18.0,0.0,0.0,430.0,2.0,0.0
2800.0,1295000.0,10.0,226.0,1.0,0.0,1.0,18.0,1.0,95.0,171.0,2.0,0.0
4040.0,160000.0,2.0,130.0,1.0,0.0,1.0,14.0,0.0,0.0,116.0,3.0,0.0
1000.0,250000.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0
6950.0,325000.0,4.0,235.0,1.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,0.0
1570.0,399000.0,3.0,216.0,1.0,1.0,0.0,0.0,1.0,1113.0,1329.0,4.0,0.0
4020.0,149000.0,4.0,137.0,1.0,0.0,1.0,25.0,0.0,0.0,110.0,2.0,0.0
4420.0,235000.0,3.0,100.0,1.0,0.0,1.0,32.0,1.0,200.0,355.0,2.0,0.0
1800.0,425000.0,3.0,138.0,1.0,0.0,0.0,0.0,1.0,40.0,175.0,2.0,0.0
4100.0,159000.0,3.0,87.0,1.0,0.0,1.0,64.0,1.0,106.0,145.0,2.0,0.0
4600.0,229000.0,3.0,145.0,1.0,0.0,1.0,136.0,0.0,0.0,184.0,3.0,0.0
4120.0,319000.0,2.0,104.0,1.0,1.0,1.0,40.0,1.0,200.0,543.0,3.0,0.0
6980.0,398000.0,3.0,170.0,1.0,0.0,1.0,18.0,1.0,1193.0,1193.0,4.0,0.0
1800.0,430000.0,3.0,132.0,1.0,0.0,1.0,40.0,1.0,400.0,623.0,3.0,0.0
9700.0,439000.0,2.0,161.0,1.0,0.0,1.0,25.0,1.0,420.0,680.0,4.0,0.0
1700.0,529000.0,4.0,315.0,1.0,0.0,1.0,18.0,0.0,0.0,8002.0,3.0,0.0
9000.0,785000.0,4.0,266.0,1.0,0.0,1.0,33.0,1.0,93.0,262.0,2.0,0.0
9600.0,135000.0,5.0,162.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0
4031.0,179000.0,3.0,137.0,1.0,0.0,1.0,16.0,1.0,43.0,145.0,2.0,0.0
1341.0,355000.0,2.0,99.0,0.0,0.0,1.0,38.0,1.0,641.0,706.0,4.0,0.0
3400.0,650000.0,8.0,570.0,1.0,0.0,1.0,18.0,1.0,2500.0,7662.0,4.0,1.0
1421.0,529000.0,3.0,165.0,1.0,0.0,1.0,20.0,1.0,800.0,1200.0,4.0,0.0
1170.0,749000.0,5.0,205.0,1.0,0.0,1.0,14.0,1.0,152.0,220.0,2.0,0.0
5030.0,245000.0,3.0,144.0,1.0,1.0,1.0,12.0,1.0,200.0,400.0,3.0,0.0
4610.0,249000.0,3.0,115.0,1.0,0.0,1.0,30.0,1.0,300.0,595.0,3.0,0.0
2170.0,279000.0,2.0,163.0,0.0,1.0,0.0,0.0,1.0,145.0,215.0,2.0,0.0
1310.0,299000.0,3.0,165.0,1.0,0.0,1.0,18.0,0.0,0.0,629.0,2.0,0.0
1420.0,2295000.0,4.0,485.0,1.0,1.0,1.0,18.0,1.0,3939.0,4189.0,4.0,1.0
1428.0,2295000.0,4.0,485.0,1.0,1.0,1.0,18.0,1.0,3939.0,4189.0,4.0,1.0
9300.0,274000.0,3.0,183.0,1.0,1.0,1.0,33.0,1.0,95.0,188.0,2.0,0.0
4500.0,319000.0,2.0,145.0,1.0,1.0,1.0,15.0,1.0,628.0,773.0,4.0,0.0
4140.0,425000.0,4.0,220.0,1.0,0.0,1.0,49.0,1.0,1500.0,2200.0,4.0,0.0
1330.0,430000.0,3.0,103.0,1.0,0.0,1.0,18.0,0.0,0.0,1166.0,4.0,0.0
1410.0,695000.0,5.0,252.0,1.0,1.0,1.0,40.0,1.0,450.0,786.0,4.0,0.0
9600.0,295000.0,5.0,339.0,1.0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,0.0
2018.0,910000.0,5.0,310.0,1.0,0.0,1.0,18.0,1.0,131.0,242.0,2.0,0.0
1600.0,329000.0,3.0,135.0,1.0,0.0,1.0,17.0,0.0,0.0,93.0,2.0,0.0
9450.0,359999.0,3.0,177.0,1.0,1.0,1.0,18.0,0.0,0.0,455.0,3.0,0.0
1030.0,595000.0,4.0,175.0,1.0,0.0,1.0,18.0,1.0,30.0,1.0,2.0,0.0
9230.0,690000.0,7.0,405.0,1.0,1.0,0.0,0.0,1.0,4534.0,4534.0,4.0,0.0
1060.0,795000.0,6.0,300.0,1.0,0.0,0.0,0.0,1.0,20.0,250.0,2.0,0.0
1020.0,460000.0,4.0,210.0,1.0,0.0,1.0,18.0,0.0,0.0,225.0,2.0,0.0
1070.0,399000.0,4.0,170.0,1.0,0.0,1.0,10.0,1.0,140.0,210.0,2.0,0.0
1300.0,435000.0,4.0,185.0,1.0,0.0,1.0,30.0,1.0,526.0,748.0,4.0,0.0
1070.0,960000.0,6.0,400.0,1.0,0.0,1.0,40.0,1.0,290.0,1090.0,3.0,0.0
5004.0,210000.0,2.0,83.0,1.0,1.0,0.0,0.0,1.0,85.0,166.0,3.0,0.0
4870.0,235000.0,3.0,166.0,1.0,1.0,0.0,0.0,0.0,0.0,1050.0,4.0,0.0
5300.0,245000.0,4.0,240.0,1.0,1.0,1.0,40.0,0.0,0.0,214.0,2.0,0.0
1420.0,260000.0,2.0,130.0,1.0,0.0,1.0,20.0,1.0,55.0,155.0,2.0,0.0
4870.0,330000.0,4.0,166.0,1.0,1.0,0.0,0.0,0.0,0.0,1700.0,4.0,0.0
4140.0,349000.0,4.0,175.0,1.0,0.0,1.0,30.0,1.0,120.0,311.0,3.0,0.0
8490.0,440000.0,3.0,161.0,1.0,1.0,1.0,18.0,0.0,0.0,1846.0,4.0,0.0
1341.0,465000.0,3.0,220.0,1.0,0.0,0.0,0.0,1.0,800.0,837.0,4.0,0.0
8620.0,520000.0,4.0,221.0,1.0,0.0,1.0,40.0,1.0,400.0,753.0,4.0,0.0
1040.0,595000.0,3.0,150.0,1.0,0.0,1.0,18.0,0.0,0.0,140.0,3.0,0.0
4101.0,129000.0,3.0,126.0,1.0,0.0,1.0,58.0,1.0,235.0,330.0,3.0,0.0
4420.0,319000.0,3.0,194.0,1.0,0.0,1.0,34.0,1.0,82.0,197.0,2.0,0.0
9000.0,319000.0,3.0,154.0,1.0,0.0,0.0,0.0,1.0,8.0,55.0,2.0,0.0
1420.0,320000.0,3.0,88.0,1.0,0.0,1.0,20.0,1.0,250.0,405.0,3.0,0.0
1410.0,498000.0,5.0,140.0,1.0,0.0,1.0,18.0,1.0,700.0,1132.0,4.0,0.0
1380.0,995000.0,6.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,14631.0,4.0,0.0
2800.0,513000.0,3.0,160.0,1.0,0.0,1.0,18.0,1.0,600.0,699.0,3.0,0.0
9230.0,250000.0,3.0,178.0,1.0,1.0,1.0,25.0,1.0,574.0,729.0,2.0,0.0
5140.0,275000.0,3.0,120.0,1.0,1.0,1.0,36.0,1.0,220.0,335.0,3.0,0.0
2000.0,115000.0,1.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,332.0,2.0,0.0
8530.0,339000.0,3.0,160.0,1.0,1.0,1.0,18.0,0.0,0.0,359.0,3.0,0.0
2870.0,425000.0,4.0,285.0,1.0,1.0,1.0,20.0,0.0,0.0,317.0,2.0,0.0
8540.0,598500.0,3.0,688.0,1.0,0.0,1.0,18.0,0.0,0.0,400.0,4.0,0.0
8531.0,920000.0,5.0,450.0,1.0,1.0,0.0,0.0,0.0,0.0,1336.0,4.0,0.0
9500.0,240000.0,3.0,125.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0
1000.0,550000.0,5.0,265.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,2.0,0.0
9400.0,615000.0,5.0,450.0,1.0,0.0,1.0,18.0,1.0,1100.0,1260.0,4.0,0.0
1630.0,495000.0,3.0,161.0,1.0,1.0,1.0,18.0,0.0,0.0,303.0,3.0,0.0
1800.0,339000.0,2.0,132.0,1.0,0.0,1.0,44.0,1.0,72.0,165.0,2.0,0.0
1930.0,345000.0,3.0,115.0,1.0,0.0,1.0,24.0,1.0,125.0,238.0,3.0,0.0
4920.0,265000.0,3.0,281.0,1.0,0.0,1.0,18.0,0.0,0.0,690.0,3.0,0.0
8500.0,365000.0,2.0,150.0,1.0,1.0,1.0,18.0,0.0,0.0,278.0,2.0,0.0
8500.0,365000.0,2.0,150.0,1.0,1.0,1.0,18.0,0.0,0.0,278.0,2.0,0.0
1040.0,575000.0,4.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0
6870.0,270000.0,3.0,120.0,1.0,0.0,1.0,18.0,1.0,450.0,500.0,4.0,0.0
1755.0,440000.0,3.0,180.0,1.0,1.0,1.0,18.0,0.0,0.0,410.0,3.0,0.0
9340.0,219000.0,3.0,170.0,1.0,0.0,1.0,18.0,1.0,450.0,564.0,3.0,0.0
9000.0,272000.0,3.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0
7750.0,275000.0,5.0,172.0,1.0,0.0,1.0,80.0,1.0,210.0,818.0,4.0,0.0
8300.0,1250000.0,5.0,182.0,1.0,0.0,1.0,18.0,0.0,0.0,145.0,2.0,0.0
1731.0,485000.0,6.0,290.0,1.0,0.0,1.0,18.0,1.0,701.0,701.0,2.0,0.0
1620.0,495000.0,3.0,161.0,1.0,1.0,1.0,18.0,0.0,0.0,303.0,3.0,0.0
1160.0,549000.0,5.0,200.0,1.0,0.0,1.0,18.0,0.0,0.0,94.0,3.0,0.0
1150.0,795000.0,4.0,185.0,1.0,0.0,1.0,18.0,1.0,300.0,392.0,3.0,0.0
9300.0,178000.0,3.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0
5030.0,240000.0,2.0,120.0,1.0,1.0,0.0,0.0,1.0,200.0,427.0,3.0,0.0
4100.0,250000.0,2.0,103.0,1.0,0.0,1.0,33.0,0.0,0.0,113.0,3.0,0.0
9000.0,415000.0,3.0,134.0,1.0,0.0,1.0,14.0,0.0,0.0,111.0,2.0,0.0
1950.0,449000.0,3.0,167.0,1.0,0.0,1.0,14.0,1.0,310.0,418.0,3.0,0.0
1400.0,575000.0,4.0,280.0,1.0,0.0,1.0,18.0,0.0,0.0,1371.0,4.0,1.0
6210.0,575000.0,4.0,280.0,1.0,0.0,1.0,18.0,0.0,0.0,1371.0,4.0,1.0
1170.0,730000.0,3.0,185.0,1.0,1.0,1.0,15.0,1.0,50.0,155.0,2.0,0.0
1150.0,785000.0,5.0,244.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0
1160.0,785000.0,5.0,244.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0
1150.0,875000.0,3.0,165.0,1.0,0.0,1.0,18.0,0.0,0.0,555.0,4.0,0.0
3078.0,895000.0,4.0,285.0,1.0,0.0,1.0,18.0,0.0,0.0,562.0,3.0,0.0
4500.0,189000.0,3.0,150.0,1.0,1.0,0.0,0.0,1.0,2300.0,2450.0,2.0,0.0
3010.0,379000.0,3.0,111.0,1.0,0.0,0.0,0.0,1.0,73.0,131.0,2.0,0.0
1330.0,399000.0,3.0,173.0,1.0,0.0,1.0,15.0,1.0,333.0,428.0,3.0,0.0
1170.0,1100000.0,4.0,248.0,1.0,0.0,1.0,18.0,1.0,60.0,150.0,2.0,0.0
1650.0,495000.0,3.0,161.0,1.0,1.0,1.0,18.0,0.0,0.0,303.0,3.0,0.0
1970.0,460000.0,3.0,120.0,1.0,0.0,1.0,20.0,1.0,110.0,227.0,2.0,0.0
1150.0,599000.0,4.0,203.0,1.0,0.0,1.0,18.0,1.0,50.0,258.0,3.0,0.0
2970.0,655000.0,2.0,235.0,1.0,1.0,0.0,0.0,0.0,0.0,930.0,4.0,0.0
1000.0,1475000.0,6.0,518.0,0.0,0.0,1.0,100.0,1.0,200.0,330.0,2.0,0.0
4500.0,149500.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,265.0,3.0,0.0
7100.0,155000.0,3.0,154.0,1.0,0.0,1.0,18.0,0.0,0.0,222.0,2.0,0.0
8792.0,299500.0,3.0,140.0,1.0,1.0,0.0,0.0,0.0,0.0,1461.0,4.0,0.0
9000.0,350000.0,2.0,127.0,1.0,0.0,1.0,18.0,1.0,55.0,94.0,2.0,0.0
8660.0,360000.0,3.0,206.0,1.0,1.0,0.0,0.0,0.0,0.0,1494.0,2.0,0.0
5370.0,395000.0,4.0,180.0,1.0,0.0,1.0,18.0,1.0,820.0,1000.0,4.0,0.0
6790.0,460000.0,4.0,130.0,1.0,0.0,1.0,10.0,0.0,0.0,503.0,4.0,0.0
9280.0,689000.0,3.0,260.0,1.0,0.0,1.0,60.0,1.0,1800.0,2080.0,4.0,0.0
1332.0,485000.0,3.0,148.0,1.0,0.0,0.0,0.0,1.0,88.0,232.0,3.0,0.0
1410.0,549000.0,4.0,207.0,1.0,0.0,1.0,25.0,1.0,230.0,464.0,3.0,0.0
1420.0,549000.0,4.0,207.0,1.0,0.0,1.0,25.0,1.0,230.0,464.0,3.0,0.0
5640.0,250000.0,4.0,135.0,1.0,1.0,1.0,30.0,1.0,1400.0,1651.0,4.0,0.0
5650.0,250000.0,4.0,135.0,1.0,1.0,1.0,30.0,1.0,1400.0,1651.0,4.0,0.0
1755.0,329000.0,2.0,167.0,1.0,1.0,0.0,0.0,0.0,0.0,402.0,4.0,0.0
3020.0,370000.0,3.0,181.0,1.0,1.0,0.0,0.0,1.0,151.0,265.0,3.0,0.0
1420.0,695000.0,6.0,300.0,1.0,1.0,0.0,0.0,1.0,900.0,1100.0,4.0,0.0
1040.0,780000.0,5.0,233.0,1.0,0.0,1.0,3.0,1.0,33.0,100.0,2.0,0.0
1180.0,780000.0,4.0,172.0,1.0,0.0,1.0,13.0,1.0,90.0,180.0,2.0,0.0
1910.0,795000.0,4.0,445.0,1.0,0.0,1.0,18.0,1.0,1172.0,1663.0,3.0,0.0
1190.0,499000.0,3.0,230.0,1.0,0.0,1.0,18.0,0.0,0.0,70.0,2.0,0.0
6440.0,75000.0,2.0,60.0,1.0,0.0,1.0,15.0,1.0,190.0,250.0,4.0,1.0
6230.0,169500.0,3.0,100.0,1.0,0.0,1.0,10.0,1.0,70.0,154.0,2.0,0.0
9340.0,249000.0,3.0,125.0,1.0,0.0,1.0,9.0,0.0,0.0,82.0,2.0,0.0
9170.0,279000.0,3.0,120.0,1.0,1.0,0.0,0.0,1.0,28.0,144.0,2.0,0.0
