url,region,province,district,postalCode,locality,street,Type_property,subtype_property,price,type_transaction,floor,n_rooms,living_area,equipped_kitchen,furnished,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,n_floorCount,swimming_pool,state_building
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10687298,Brussels,Brussels,Brussels,1070,Anderlecht,Rue Guillaume Lekeu - Guillaume Lekeustraat,APARTMENT,APARTMENT,170000,FOR_SALE,2,2,64,1,0,0,1,2,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/oupeye/4680/10686321,Wallonie,Liège,Liège,4680,Oupeye,Rue Sondeville,APARTMENT,APARTMENT,219000,FOR_SALE,2,3,124,1,0,0,1,21,1,46,0,4,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/10686750,Flanders,East Flanders,Oudenaarde,9600,Ronse,Engelsenlaan,APARTMENT,APARTMENT,219000,FOR_SALE,3,1,120,1,0,0,0,0,1,2000,0,4,1,0,GOOD
https://www.immoweb.be/en/classified/service-flat/for-sale/aalst/9300/10686062,Flanders,East Flanders,Aalst,9300,Aalst,Nieuwbeekstraat,APARTMENT,SERVICE_FLAT,245000,FOR_SALE,2,1,52,1,0,0,1,10,0,0,0,2,4,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10685792,Brussels,Brussels,Brussels,1000,Bruxelles,Square Marguerite - Margaretasquare,APARTMENT,APARTMENT,330000,FOR_SALE,1,2,90,1,0,0,1,8,0,0,0,2,11,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gooik/1755/10686225,Flanders,Flemish Brabant,Halle-Vilvoorde,1755,Gooik,Strijlandstraat,APARTMENT,APARTMENT,359000,FOR_SALE,1,3,112,1,0,1,1,28,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/sint-agatha-berchem/1082/10685770,Brussels,Brussels,Brussels,1082,Sint-Agatha-Berchem,Mathieu Pauwelsstraat,APARTMENT,PENTHOUSE,425000,FOR_SALE,3,2,105,1,0,1,1,93,0,0,0,,3,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10685798,Brussels,Brussels,Brussels,1180,Uccle,Avenue Winston Churchill,APARTMENT,APARTMENT,435000,FOR_SALE,2,2,95,1,0,0,1,3,0,0,0,2,7,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10685235,Flanders,Antwerp,Antwerp,2100,Deurne,Deken Jozef de Meusstraat,APARTMENT,APARTMENT,182500,FOR_SALE,2,2,85,1,0,1,0,0,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10685243,Flanders,Antwerp,Antwerp,2140,Borgerhout,Turnhoutsebaan,APARTMENT,APARTMENT,183000,FOR_SALE,5,2,89,1,0,1,1,4,0,0,0,2,6,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10684496,Flanders,Antwerp,Antwerp,2100,Deurne,Diksmuidelaan,APARTMENT,APARTMENT,229000,FOR_SALE,1,2,88,1,0,1,1,3,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/10684497,Flanders,Antwerp,Antwerp,2600,Berchem,Diksmuidelaan,APARTMENT,APARTMENT,229000,FOR_SALE,1,2,88,1,0,1,1,3,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10684481,Brussels,Brussels,Brussels,1000,Brussels City,ANTWERPSELAAN,APARTMENT,APARTMENT,237500,FOR_SALE,6,1,54,1,1,1,1,3,0,0,0,2,6,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10685242,Flanders,Antwerp,Antwerp,2100,Deurne,Boterlaarbaan,APARTMENT,APARTMENT,245000,FOR_SALE,1,2,106,1,0,1,1,6,0,0,0,3,3,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/duplex/for-sale/borgerhout/2140/10685232,Flanders,Antwerp,Antwerp,2140,Borgerhout,Appelstraat,APARTMENT,DUPLEX,285000,FOR_SALE,3,3,123,1,0,1,0,0,0,0,0,2,3,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/10683975,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,Vilvoorde,Maria-Theresialaan,APARTMENT,APARTMENT,295000,FOR_SALE,2,2,87,1,0,0,1,20,0,0,0,2,1,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/10685244,Flanders,Antwerp,Antwerp,2600,Berchem,Fruithoflaan,APARTMENT,APARTMENT,399000,FOR_SALE,9,5,191,1,0,1,1,57,0,0,0,4,12,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10684307,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Avenue du Yorkshire,APARTMENT,APARTMENT,499000,FOR_SALE,3,2,94,1,0,0,1,28,0,0,0,2,8,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/10685490,Brussels,Brussels,Brussels,1150,Woluwe-Saint-Pierre,Avenue Edmond Parmentier,APARTMENT,PENTHOUSE,675000,FOR_SALE,4,2,130,1,0,0,1,30,0,0,0,2,4,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10682835,Brussels,Brussels,Brussels,1090,Jette,Rue Vanderperren,APARTMENT,APARTMENT,209000,FOR_SALE,1,1,60,1,0,0,1,3,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10681258,Brussels,Brussels,Brussels,1180,Uccle,Avenue de l'Aulne,APARTMENT,APARTMENT,380000,FOR_SALE,7,3,108,1,0,0,1,17,0,0,0,3,9,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/penthouse/for-sale/marche-en-famenne/6900/10681984,Wallonie,Luxembourg,Marche-en-Famenne,6900,Marche-en-Famenne,Rue Victor Libert,APARTMENT,PENTHOUSE,385000,FOR_SALE,5,4,199,1,0,0,1,35,0,0,0,3,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10681832,Wallonie,Liège,Liège,4053,Embourg,Rue du Vieux Chemin,APARTMENT,PENTHOUSE,399000,FOR_SALE,1,3,145,1,0,1,1,20,0,0,0,3,1,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10681830,Wallonie,Liège,Liège,4053,Embourg,Rue du Vieux Chemin,APARTMENT,APARTMENT,399000,FOR_SALE,1,3,145,1,0,1,1,20,0,0,0,3,1,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10681956,Brussels,Brussels,Brussels,1050,Ixelles,Rue du Tabellion,APARTMENT,APARTMENT,465000,FOR_SALE,2,2,95,1,0,0,1,4,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10681410,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Théodore De Cuyper,APARTMENT,APARTMENT,595000,FOR_SALE,1,3,120,1,0,0,1,13,0,0,0,,5,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/wichelen%20serskamp/9260/10678924,Flanders,East Flanders,Dendermonde,9260,Wichelen Serskamp,Biesakker,APARTMENT,APARTMENT,195000,FOR_SALE,2,2,91,1,0,0,1,,0,0,0,3,1,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/li%C3%A8ge/4020/10679101,Wallonie,Liège,Liège,4020,Liège,Quai Gloesener,APARTMENT,PENTHOUSE,375000,FOR_SALE,5,3,214,1,0,0,0,0,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/st-amandsberg/9040/10687323,Flanders,East Flanders,Gent,9040,St-Amandsberg,Toekomststraat,APARTMENT,APARTMENT,254000,FOR_SALE,1,2,95,0,0,0,1,,0,0,0,2,,0,GOOD
